id,name_zh,category,python,matlab,python_libs,matlab_toolboxes,license,source,python_status,python_seconds,matlab_status,matlab_seconds,note
ant_colony_tsp,蚁群算法,01_优化与启发式,代码编写/references/algorithm_library/01_优化与启发式/ant_colony_tsp/python/main.py,代码编写/references/algorithm_library/01_优化与启发式/ant_colony_tsp/matlab/main.m,numpy,base,self-written,自写重写;本地参照 02 源代码 蚁群算法,pass,1.6,pass,0,未运行
dynamic_programming_knapsack,动态规划背包,01_优化与启发式,代码编写/references/algorithm_library/01_优化与启发式/dynamic_programming_knapsack/python/main.py,代码编写/references/algorithm_library/01_优化与启发式/dynamic_programming_knapsack/matlab/main.m,numpy,,self-written,自写重写;参照 算法写作模板 04 培训资料,pass,0.5,pass,0,未运行
genetic_algorithm,遗传算法,01_优化与启发式,代码编写/references/algorithm_library/01_优化与启发式/genetic_algorithm/python/main.py,代码编写/references/algorithm_library/01_优化与启发式/genetic_algorithm/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 遗传算法,pass,1.5,pass,0,未运行
integer_programming,整数规划,01_优化与启发式,代码编写/references/algorithm_library/01_优化与启发式/integer_programming/python/main.py,代码编写/references/algorithm_library/01_优化与启发式/integer_programming/matlab/main.m,numpy;scipy,optim,self-written,自写重写;本地参照 02 源代码 0-1规划模型,pass,0.9,pass,0,未运行
linear_programming,线性规划,01_优化与启发式,代码编写/references/algorithm_library/01_优化与启发式/linear_programming/python/main.py,代码编写/references/algorithm_library/01_优化与启发式/linear_programming/matlab/main.m,numpy;scipy,optim,self-written,自写重写;本地参照 数据集/算法写作模板 02 源代码 线性规划模型,pass,0.9,pass,0,未运行
nonlinear_programming,非线性规划,01_优化与启发式,代码编写/references/algorithm_library/01_优化与启发式/nonlinear_programming/python/main.py,代码编写/references/algorithm_library/01_优化与启发式/nonlinear_programming/matlab/main.m,numpy;scipy,optim,self-written,自写重写;本地参照 02 源代码 非线性规划模型,pass,0.9,pass,0,未运行
nsga2,NSGA-II 多目标优化,01_优化与启发式,代码编写/references/algorithm_library/01_优化与启发式/nsga2/python/main.py,代码编写/references/algorithm_library/01_优化与启发式/nsga2/matlab/main.m,numpy,,self-written,自写重写;参照 14种国赛必备算法 NSGA-II,pass,2.4,pass,0,未运行
particle_swarm,粒子群优化,01_优化与启发式,代码编写/references/algorithm_library/01_优化与启发式/particle_swarm/python/main.py,代码编写/references/algorithm_library/01_优化与启发式/particle_swarm/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 粒子群算法,pass,1.4,pass,0,未运行
simulated_annealing,模拟退火,01_优化与启发式,代码编写/references/algorithm_library/01_优化与启发式/simulated_annealing/python/main.py,代码编写/references/algorithm_library/01_优化与启发式/simulated_annealing/matlab/main.m,numpy,base,self-written,自写重写;本地参照 02 源代码 模拟退火,pass,1.8,pass,0,未运行
ahp,层次分析法,02_评价决策,代码编写/references/algorithm_library/02_评价决策/ahp/python/main.py,代码编写/references/algorithm_library/02_评价决策/ahp/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 层次分析法,pass,0.5,pass,0,未运行
coefficient_of_variation,变异系数法赋权,02_评价决策,代码编写/references/algorithm_library/02_评价决策/coefficient_of_variation/python/main.py,代码编写/references/algorithm_library/02_评价决策/coefficient_of_variation/matlab/main.m,numpy,,self-written,自写重写;参照 算法写作模板 01 评价类论文,pass,0.5,pass,0,未运行
critic_weight,CRITIC 赋权法,02_评价决策,代码编写/references/algorithm_library/02_评价决策/critic_weight/python/main.py,代码编写/references/algorithm_library/02_评价决策/critic_weight/matlab/main.m,numpy,,self-written,自写重写;方法依据见 references/来源与方法依据.md,pass,0.5,pass,0,未运行
dea,DEA 数据包络分析,02_评价决策,代码编写/references/algorithm_library/02_评价决策/dea/python/main.py,代码编写/references/algorithm_library/02_评价决策/dea/matlab/main.m,numpy;scipy,optim,self-written,自写重写;本地参照 02 源代码 DEA综合评价法,pass,0.8,pass,0,未运行
entropy_weight,熵权法,02_评价决策,代码编写/references/algorithm_library/02_评价决策/entropy_weight/python/main.py,代码编写/references/algorithm_library/02_评价决策/entropy_weight/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 熵权法,pass,0.5,pass,0,未运行
fuzzy_comprehensive,模糊综合评价,02_评价决策,代码编写/references/algorithm_library/02_评价决策/fuzzy_comprehensive/python/main.py,代码编写/references/algorithm_library/02_评价决策/fuzzy_comprehensive/matlab/main.m,numpy,,self-written,自写重写;本地参照 02 源代码 模糊综合评价法,pass,0.5,pass,0,未运行
