id,name_zh,problem_types,family,assumptions,pitfalls,source,license
linear_programming,线性规划,资源分配/生产计划/运输问题,数学规划,目标与约束均为线性且变量连续,把非线性关系强行线性化而不说明误差,自写重写;本地参照 数据集/算法写作模板 02 源代码 线性规划模型,self-written
integer_programming,整数规划,选址/排班/0-1决策,数学规划,整数或0-1变量明确且可由求解器处理,整数松弛后直接四舍五入取整,自写重写;本地参照 02 源代码 0-1规划模型,self-written
nonlinear_programming,非线性规划,连续变量非线性优化,数学规划,目标与约束可微且初值合理,单次局部求解即宣称全局最优,自写重写;本地参照 02 源代码 非线性规划模型,self-written
dynamic_programming_knapsack,动态规划背包,多阶段决策/装载/资源分配,动态规划,满足最优子结构与无后效性,状态定义不完整导致漏解或维数爆炸,自写重写;参照 算法写作模板 04 培训资料,self-written
genetic_algorithm,遗传算法,组合优化/复杂约束寻优,启发式算法,编码与适应度可定义且参数可调,不固定随机种子、不报告收敛过程,自写重写;本地参照 02 源代码 遗传算法,self-written
particle_swarm,粒子群优化,连续参数寻优,启发式算法,搜索空间连续且可定义速度边界,越界不处理导致发散,自写重写;本地参照 02 源代码 粒子群算法,self-written
simulated_annealing,模拟退火,组合优化/路径规划/布局,启发式算法,邻域结构与降温计划可定义,初温过低退化为爬山法,自写重写;本地参照 02 源代码 模拟退火,self-written
ant_colony_tsp,蚁群算法,路径规划/TSP,启发式算法,信息素与启发式因子可定义,迭代过少或信息素不设挥发,自写重写;本地参照 02 源代码 蚁群算法,self-written
nsga2,NSGA-II 多目标优化,多目标权衡/Pareto前沿,多目标进化算法,目标间存在冲突且可同时评价,把加权和当多目标或不报告Pareto解集,自写重写;参照 14种国赛必备算法 NSGA-II,self-written
ahp,层次分析法,指标权重/方案排序,评价决策,指标层可两两比较且判断矩阵一致性可接受,不做一致性检验或指标过多仍用1-9标度,自写重写;本地参照 02 源代码 层次分析法,self-written
entropy_weight,熵权法,客观赋权,评价决策,指标需标准化且离散度有差异,正负指标不区分或熵值趋近1仍取权重,自写重写;本地参照 02 源代码 熵权法,self-written
topsis,TOPSIS 逼近理想解,多方案排序,评价决策,方案数不少于2且指标可同向化,不做归一化或理想解仍混入负向指标,自写重写;本地参照 02 源代码 TOPSIS综合评价法,self-written
fuzzy_comprehensive,模糊综合评价,定性指标量化评价,评价决策,隶属度矩阵与权重已知,隶属度不归一或把最大隶属度当概率,自写重写;本地参照 02 源代码 模糊综合评价法,self-written
grey_relational,灰色关联分析,小样本影响因素排序,评价决策,需要指定参考序列且量纲统一,分辨系数取值不说明,自写重写;本地参照 02 源代码 灰色关联分析法,self-written
dea,DEA 数据包络分析,多投入多产出效率评价,评价决策,决策单元数量不低于投入产出项数的两倍,决策单元过少导致效率值大量为1,自写重写;本地参照 02 源代码 DEA综合评价法,self-written
rsr,秩和比综合评价,综合评价与分档,评价决策,指标可同向化并排序,分档阈值拍定且不报告概率单位,自写重写;本地参照 02 源代码 秩和比综合评价法,self-written
coefficient_of_variation,变异系数法赋权,客观赋权,评价决策,指标为可比的正向化数据,与熵权法混用却不说明依据,自写重写;参照 算法写作模板 01 评价类论文,self-written
linear_regression,多元线性回归,影响因素建模与预测,统计回归,线性关系且残差近似独立同分布,不做共线性检查或用R2当因果证据,自写重写;本地参照 02 源代码 回归分析预测模型,self-written
ridge_regression,岭回归,共线性下的回归,统计回归,存在多重共线性且需要正则化,惩罚系数拍定或标准化后按原尺度解释系数,自写重写;参照 14种国赛必备算法 回归类,self-written
polynomial_fit,多项式拟合,趋势拟合与插值建模,统计回归,阶数低于样本数且需报告过拟合风险,阶数越高越好且外推无警告,自写重写;本地参照 02 源代码 拟合类,self-written
arima_forecast,ARIMA 时序预测,平稳或差分平稳序列预测,时间序列,序列平稳且样本长度足够定阶,不做差分直接套ARMA或样本过少定阶,自写重写;本地参照 02 源代码 ARMA时间序列预测,self-written
exponential_smoothing,指数平滑预测,短期趋势预测,时间序列,序列含趋势或季节且需选择模型形式,平滑系数手动凑结果,自写重写;本地参照 02 源代码 二次指数平滑预测,self-written
gm11,灰色预测GM(1,1),小样本单调趋势预测,灰色系统,样本少且近似指数增长并通过级比检验,大样本强用或不做后验差检验,自写重写;本地参照 02 源代码 灰色预测模型,self-written
mlp_regression,BP神经网络回归,非线性回归预测,机器学习,样本量足够且输入需标准化,不设随机种子或用测试集调参,自写重写;本地参照 14种国赛必备算法 神经网络类,self-written
random_forest_regression,随机森林回归,非线性预测与特征重要性,机器学习,需处理缺失与类别变量并划分验证集,用训练集精度报效果,自写重写;本地参照 14种国赛必备算法 随机森林回归,self-written
gradient_boosting_regression,梯度提升回归,高精度回归预测,机器学习,需要早停与学习率调参,不做早停导致过拟合,自写重写;参照 14种国赛必备算法 集成学习类,self-written
kmeans,K-means聚类,样本分群/区域划分,聚类,簇近似球形且需先标准化,不标准化或用单一指标硬选簇数,自写重写;本地参照 02 源代码 K-means聚类算法,self-written
hierarchical_clustering,层次聚类,样本与指标分层归并,聚类,需选定距离与连接准则,不说明连接方式或大样本直接算,自写重写;本地参照 02 源代码 层次聚类算法,self-written
dbscan,DBSCAN密度聚类,任意形状簇与异常点识别,聚类,样本密度差异不大且参数可调,密度差异大硬用且不说明参数来源,自写重写;参照 算法写作模板 01 聚类类论文,self-written
gmm,高斯混合模型软聚类,概率归属与软聚类,聚类,需初始化策略与协方差类型并做模型选择,不设随机种子或簇数不做BIC选择,自写重写;本地参照 02 源代码 高斯混合聚类模型,self-written
knn_classification,KNN分类,小样本分类,分类,需距离度量与K值选择,不标准化特征或K取偶数导致平票,自写重写;本地参照 02 源代码 KNN分类模型,self-written
svm_classification,支持向量机分类,中小样本分类,分类,需选择核函数与惩罚参数,不做交叉验证选核或概率输出未校准,自写重写;本地参照 02 源代码 支持向量机,self-written
decision_tree,决策树分类,可解释规则提取,分类,需剪枝与深度控制,不限制深度导致完全拟合训练集,自写重写;本地参照 02 源代码 决策树分类模型,self-written
logistic_regression,Logistic回归,二分类概率建模,分类,需检查线性可分性与多重共线性,直接解释OR值却不看置信区间,自写重写;本地参照 02 源代码 Logistic预测模型,self-written
naive_bayes,朴素贝叶斯分类,文本与高维分类,分类,特征条件独立假设近似成立,连续特征不做分布假设检验,自写重写;本地参照 02 源代码 朴素贝叶斯分类模型,self-written
dijkstra,Dijkstra最短路,非负权网络最短路径,图论,边权非负,存在负权仍使用或不报告无解情况,自写重写;本地参照 02 源代码 Dijkstra算法,self-written
floyd,Floyd全源最短路,任意两点最短路径,图论,顶点规模不宜过大,节点数大时O(n^3)超时,自写重写;本地参照 02 源代码 Floyd算法,self-written
minimum_spanning_tree,最小生成树,网络铺设与聚类连接,图论,无向连通带权图,有向图硬用或不检查连通分量,自写重写;本地参照 02 源代码 图论类,self-written
